title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword,Unnamed: 0
Biological inspired secure autonomous routing mechanism for wireless sensor networks,https://dl.acm.org/doi/10.1504/IJIIDS.2011.041321,1,article,ACM,2011,"The field of wireless sensor network (WSN) is an important and challenging research area today. Advancements in sensor networks enable a wide range of environmental monitoring applications. Multihop routing in WSN is affected by new nodes constantly entering&#47;leaving. Moreover, secure routing is a difficult problem due to the resource limitations in WSN. Thus, biological inspired algorithms are reviewed and enhanced to tackle the problems. Ant routing and human security system have shown excellent performance. Certain parameters as energy level, velocity, packet reception, dropping, mismatch rates and packet sending power are considered while making decision. The decision will come up with the optimal route and also to take best action against security attacks. In this paper, the design and initial work of BIOlogical Inspired Secure Autonomous Routing Protocol (BIOSARP) is presented. The proposed bio-inspired mechanism will meet the enhanced WSN requirements, including better delivery ratio, less energy consumption and routing overhead.",none,
Software-Defined Networking in wireless ad hoc scenarios: Objectives and control architectures,https://dl.acm.org/doi/10.1016/j.jnca.2022.103387,1,review-article,ACM,2022,"While SDN has traditionally targeted fixed and wired environments with hundreds of nodes, recently its main principles have also been followed in wireless ad hoc scenarios. However, node mobility and heterogeneity characterizing such dynamic scenarios prevent the adoption of purely centralized control solutions, pushing for more articulated and distributed architectures. We provide a thorough analysis of state-of-the-art literature related to the adoption of SDN in wireless ad hoc scenarios, ranging from WSNs with mostly fixed sensors and WMNs with mobile clients but stable routers to MANETs with every node freely moving on the field, VANETs with vehicles speeding through the network road, and FANETs with aerial vehicles flying in every direction. For each identified wireless ad hoc scenario, we present the rationale behind the adoption of SDN, recognizing that the objective of the SDN controller is far beyond mere routing management in such challenging scenarios. Furthermore, we detail the proposed control architectures, showing how the peculiar characteristics (and related goals) of a given scenario influence the architecture design. Finally, we point out hybrid control architectures as a notable trend in SDN solutions targeting wireless ad hoc scenarios.",none,
Approximation and polynomial algorithms for the data mule scheduling with handling time and time span constraints,https://dl.acm.org/doi/10.1016/j.ipl.2022.106299,1,rapid-communication,ACM,2022,"ts•The first constant factor approximation algorithm for the DMSTC on a tree.•Polynomial algorithms for uniform DMSTC on a spider with fixed number of branches.•Polynomial time algorithm for uniform DMSTC on a cycle.AbstractIn this paper, we address the data mule scheduling problem with time constraints (DMSTC) in which the aim is to dispatch from a depot the minimum number of data mules to serve target sensors located on a network. Each target sensor is associated with a handling time and each dispatched data mule must return to the depot before time span D. Our main contribution is as follows. First, we give the first constant-factor 2-approximation algorithm and a bicriteria polynomial time approximation scheme (PTAS) for the DMSTC defined on a tree. The former result resolves an open problem proposed in the literature (Chen et al., 2020 [4]). This is achieved by an approximation preserving reduction from the DMSTC to the distance constrained vehicle routing problem, i.e. a special case of the DMSTC with zero handling times. Second, we show that our approximation preserving reduction can be extended to the multi-depot version of the DMSTC and derive a similar bicriteria PTAS for the multi-depot DMSTC on a tree if the number of depots is a fixed constant. Finally, we consider the uniform DMSTC, which is a particular case of the DMSTC with all handling times identical, and develop the first non-trivial polynomial algorithms for the uniform DMSTC define on several classes of special networks, including spiders, paths and cycles.",none,
A fuzzy based Q – learning approach to prevent sinkhole attacks in MANET (FQ – SPM),https://dl.acm.org/doi/10.3233/JIFS-232003,0,research-article,ACM,2024,"Mobile Ad-Hoc Networks (MANET) are considered one of the significant and growing areas in today’s scenario of technological advancement. It is an infrastructure-less and dynamic ad-hoc network that requires a connection between nodes to deliver packets and data. However, its design adopts a connection-less approach, at the helm of which no monitoring node exists. Hence, the threat of maintaining the network’s security remains an uphill task. Many attacks have been attempted to breach the protection of the MANET. This paper discusses one of the most potent attacks in a MANET infrastructure, the Sinkhole Attack. We try to minimize the possibility of a sinkhole attack using a Fuzzy Q-learning-based approach, a reinforcement learning technique. The results are encouraging, suggesting that sinkhole attacks can be minimized to a great extent after the adaption of the proposed approach.",none,
Simultaneous optimization of cluster head selection and inter-cluster routing in wireless sensor networks using a 2-level genetic algorithm,https://dl.acm.org/doi/10.1016/j.asoc.2022.109444,1,research-article,ACM,2022,"In cluster-based sensor networks, at each cluster, sensor nodes send the collected data to a cluster head which aggregates and forwards them to a sink node. Data transmission from a cluster head to the sink node can be done in a multi-hop fashion through other cluster heads. Hence, two problems need to be addressed in this regard: Selection of cluster heads, and optimal multi-hop routing. In previous studies, these two problems have been solved separately in two independent phases. This paper proposes a novel approach to solve them simultaneously in order to increase the network lifetime. In the proposed scheme, the cluster head’s role in transmitting the inter-cluster traffic is considered during the cluster head selection process. In other words, cluster heads are selected in a way which reduces the energy consumption for transmitting data from a cluster head to the sink node. To achieve this goal, the genetic algorithm is used in two levels. The first-level genetic algorithm selects the cluster heads while the second-level one considers multi-hop routing among them. Simulation of the proposed method and comparison of its results with three previously proposed schemes which solve the problems separately indicate the superiority of the proposed optimization scheme in improving the lifetime of the network.",none,
Swarm intelligence based centralized clustering: a novel solution,https://dl.acm.org/doi/10.1007/s10845-020-01542-9,3,research-article,ACM,2020,"Recent evolutions of MEMS technology, digital electronics, and wireless communication technologies have made smart environments possible; especially through the apparition or incorporation of sensors. Despite being small-sized, the sensors have paved the way for data collection in the environments where they are applied; including luminosity, gas presence, water content, humidity, pressure, and temperature. This research aims to pragmatically optimize Wireless Sensor Network Localization and Network Coverage issues using nature-inspired algorithms. The specific objective is to establish an optimal nature-inspired algorithm and comparing it with other algorithms regarding the capacity to achieve manufacturing optimization in large WSNs, especially in relation to the parameters of high scalability, data delivery rate, and low-energy consumption. Also, the study seeks to determine the extent to which swarm intelligence (SI)-based centralized clustering solutions (optimal nature-inspired algorithms), compared to other approaches, might optimize the WSN features of localization and network coverage. To determine the solutions’ performance, the study involved three scenarios. In scenario 1, the network operational time and the stability of SI-based algorithms were investigated for large WSNs that had the minimum heterogeneity. Imperative to note is that the WSNs on focus had different numbers of nodes, which included 500, 300, and 100. In scenario 2, the motivation was to investigate the SI-based WSN protocols in relation to the parameters of packet delivery, energy conception, and network lifetime for large WSNs. In scenario 3, the performance of SI-based solutions over large WSNs was compared to that which had been reported previously for other algorithms; with the target parameters of comparison being attributes such as packet delivery, energy conception, and network lifetime. From the findings, this study established that SI-based centralized clustering solutions are not only more recent but also exhibit superior performance compared to other algorithms; with the parameters of the amount of data delivered to the BS, energy consumption and scalability on the focus.",none,
Energy-efficient cooperative routing scheme with recurrent neural network based decision making system for wireless multimedia sensor networks,https://dl.acm.org/doi/10.1007/s11042-022-12938-5,1,research-article,ACM,2022,"“Wireless multimedia sensor networks (WMSNs)” are deployed in wider range of applications including video surveillance and area monitoring. However, due to the error-prone unreliable medium and application-based quality of service (QoS) requirements, routing in WMSNs becomes a serious issue. Thereby, this work intends to find the maximum energy cooperative route in WMSNs. Accordingly, Recurrent Neural Network (RNN) oriented decision making system is introduced for selecting the appropriate cooperative nodes with the knowledge of: (i) Tri-level energy utilization of nodes (ii) Reliability (iii) Delay to encounter the multimedia services in the network for transmitting the multimedia information. To make the precise decision on this, this paper intends to enhance the system model of RNN via optimizing the weights. For this optimization, a new Sea lion Adapted Grey Wolf Optimization (SA-GWA) is introduced, which is the hybridization of both Sea lion Optimization (SLnO) and Grey Wolf Optimizer (GWO). Finally, the superiority of the proposed model is validated over existing models in terms of reliability, residual energy and delay analysis.",none,
Survey on computation offloading in UAV-Enabled mobile edge computing,https://dl.acm.org/doi/10.1016/j.jnca.2022.103341,18,review-article,ACM,2022,"With the increasing growth of internet-of-things (IoT) devices, effective computation performance has become a critical issue. Many services provided by IoT devices (e.g., augmented reality, location-tracking, traffic systems, and autonomous driving) require intensive real-time data processing, which demands powerful computational resources. Mobile edge computing (MEC) has been introduced to effectively handle this problem reliably over the internet. The inclusion of a MEC server allows computationally intensive tasks to be offloaded from IoT devices. However, communication overhead and delays are major drawbacks. With the advantages of high mobility and low cost, unmanned aerial vehicles (UAVs) can mitigate this issue by acting as MEC servers. The offloading decisions for such scenarios involve service latency, energy/power consumption, and execution delays. For this reason, this study reviews UAV-enabled MEC solutions in which offloading was the focus of research. We compare the algorithms qualitatively to assess features and performance. Finally, we discuss open issues and research challenges in terms of design and implementation.",none,
A Feasibility Study on Energy Harvesting from Soil Temperature Differences,https://dl.acm.org/doi/10.1145/3277883.3277886,13,research-article,ACM,2018,"With regard to the growing number of wireless sensor network (WSN) and IoT long-term applications, energy harvesting becomes more and more popular i.a. due to the economical advantages compared to classical energy sources. Outdoor deployments for e.g. smart farming applications usually rely on solar-powered harvesters but this is not sufficient in any case. During previous outdoor deployments we observed, that soiling or shadowing by plants makes solar cells infeasible for ground-level sensors.We also observed that thermoelectric generators (TEGs) might be an alternative when utilizing the temperature gradient between the ground and the soil. Hence, this paper presents a longterm measurement as well as a feasibility study whether a WSN could be supplied by this approach. We collected and analysed data of more than a year and show the total amount as well as the characteristics of harvestable energy.Finally a load model of a typical WSN application is used to evaluate its performance and, therefore, to prove that energy harvesting from soil temperature differences is a realistic solution to power nodes and networks.",none,
Software defined wireless sensor networks application opportunities for efficient network management,https://dl.acm.org/doi/10.1016/j.compeleceng.2017.02.026,34,research-article,ACM,2018,"Wireless Sensor Networks (WSNs) are commonly used information technologies of modern networking and computing platforms. Today's network computing applications are faced with a high demand of powerful network functionalities. Functional network reach is central to customer satisfaction such as in mobile networks and cloud computing environments. However, efficient management of WSNs remains a challenge, due to problems supplemental to them. Recent technology shift proposes Software Defined Networking (SDN) for improving computing networks. This review paper highlights application challenges faced by WSNs for monitored environments and those faced by the proposed approaches, as well as opportunities that can be realized on applications of WSNs using SDN. We also highlight Implementation considerations by focusing on critical aspects that should not be disregarded when attempting to improve network functionalities. We then propose a strategy for Software Defined Wireless Sensor Network (SDWSN) as an effort for application improvement in monitored environments. The following figure is the graphical abstract of the review paper.Display Omitted",none,
Throughput and Lifetime Enhancement of WSNs Using Transmission Power Control and Q-learning,https://dl.acm.org/doi/10.1007/s11277-023-10622-x,0,research-article,ACM,2023,"In this paper, a Q-learning algorithm is proposed to improve the performance of the routing in the Wireless Sensor Networks (WSNs). We have also combined transmission power control (TPC) method with Q-learning to further improve the performance. In the proposed method, each sensor node is treated as an agent which uses Q-learning for routing decisions in distributed manner and employs TPC for transmission of data packets. In the network, agents with higher residual energy and smaller hop distance to sink are given priority to forward packets to the next hop. A convex energy function is used to calculate the effective distance, which is then used for deciding the power level to be used in sending of a packet. We have also computed and presented the time and space complexity of the proposed QL-TPC protocol. This protocol has been simulated using NS3. The results have been obtained as an average of ten simulation runs. The simulation results show improvement in network performance in term of throughput, end-to-end delay and network lifetime for different network size, packet size and propagation models. The performance of the proposed model is compared with the other existing protocols QLRP, Q-Routing, RBLR and AODV. It is observed that the proposed QL-TPC protocol outperforms all other protocols. Further, the scalability of the protocol is also investigated and observed that our proposed protocol is scalable.",none,
An Efficient and Secure Routing Protocol for Wireless Sensor Networks Using Multicasting,https://dl.acm.org/doi/10.1109/GreenCom-CPSCom.2010.92,1,Article,ACM,2010,"Recent technological advancements in the field of nanotechnology have increased the computation power of the wireless nodes while adhering to the energy constraints. This has made the use of the Wireless Sensor Networks (WSNs), more widespread, used in applications such as area monitoring, industrial monitoring, vehicle detection or military monitoring. Sensor nodes have made it possible to collect data even in hostile environments, but because of the severe security and energy constraints faced by sensor networks, their deployment on a large scale is still a tricky job. A secure energy efficient routing algorithm is thus the need of the hour. SPIN, Sensor Protocol for Information via Negotiation, is one of the widely used energy efficient routing protocol in WSNs that completely ignores the security aspect. This paper involves proposing an alternate routing protocol, MS-SPIN, which incorporates the best features of SPIN while also addressing the security issue. The implementation of MS-SPIN in NS2 has shown that, for a larger number of nodes, its energy performance characteristics are comparable to those of SPIN while providing security features.",none,
Resource allocation in V2X communication: State-of-the-art and research challenges,https://dl.acm.org/doi/10.1016/j.phycom.2024.102351,0,review-article,ACM,2024,"This paper explores the multifaceted domain of resource allocation (RA) in vehicle-to-everything (V2X) communication, emphasizing its pivotal role in advancing intelligent transportation systems (ITS) and beyond. While V2X communication stands as a cornerstone for ITS, enabling enhanced safety, efficiency, and automation in vehicular environments, it necessitates sophisticated RA strategies to address the dynamic and diverse demands of modern networks. As vehicle numbers grow, there is a rising need for more spectral resources to ensure efficient and dependable services. In areas with high vehicle concentrations, the demand for these resources intensifies to maintain swift, stable connectivity. Due to limited power, channel, and spectrum resources, their allocation is a critical challenge in V2X network. Efficient allocation of these resources is vital to prevent interference and ensure smooth communication. This study categorizes RA methods into graph-based, game theory-based, genetic algorithm-based, heuristic-based, optimization technique-based, machine learning-based, deep learning-based, and reinforcement learning-based approaches, each with its unique advantages and applicability in V2X contexts. We further delineate the evaluation metrics critical for assessing these methods, including throughput, latency, reliability, and energy efficiency, to provide a comprehensive context for comparison. Beyond ITS, the paper explores the broader implications of efficient RA in facilitating emergent V2X applications, such as emergency service provisioning, vehicle platooning, and speed harmonization. However, achieving optimal RA in V2X networks is fraught with challenges, including mobility and interference management, scalability, dynamic network topology, and the integration of heterogeneous technologies. The discussion extends to potential future directions, highlighting the importance of cross-layer design, integration of next-generation wireless technologies, and the adoption of artificial intelligence for adaptive and anticipatory resource management. By expanding the discourse beyond ITS, this paper aims to offer readers a holistic understanding of the current state, challenges, and forward-looking insights into RA for V2X communication.",none,
"Resource Allocation and Task Scheduling in Fog Computing and Internet of Everything Environments: A Taxonomy, Review, and Future Directions",https://dl.acm.org/doi/10.1145/3513002,65,survey,ACM,2022,"The Internet of Everything paradigm is being rapidly adopted in developing applications for different domains like smart agriculture, smart city, big data streaming, and so on. These IoE applications are leveraging cloud computing resources for execution. Fog computing, which emerged as an extension of cloud computing, supports mobility, heterogeneity, geographical distribution, context awareness, and services such as storage, processing, networking, and analytics on nearby fog nodes. The resource-limited, heterogeneous, dynamic, and uncertain fog environment makes task scheduling a great challenge that needs to be investigated. The article is motivated by this consideration and presents a systematic, comprehensive, and detailed comparative study by discussing the merits and demerits of different scheduling algorithms, focused optimization metrics, and evaluation tools in the fog computing and IoE environment. The goal of this survey article is fivefold. First, we review the fog computing and IoE paradigms. Second, we delineate the optimization metric engaged with fog computing and IoE environment. Third, we review, classify, and compare existing scheduling algorithms dealing with fog computing and IoE environment paradigms by leveraging some examples. Fourth, we rationalize the scheduling algorithms and point out the lesson learned from the survey. Fifth, we discuss the open issues and future research directions to improve scheduling in fog computing and the IoE environment.",none,
TG-SPRED: Temporal Graph for Sensorial Data PREDiction,https://dl.acm.org/doi/10.1145/3649892,0,research-article,ACM,2024,"This study introduces an innovative method aimed at reducing energy consumption in sensor networks by predicting sensor data, thereby extending the network’s operational lifespan. Our model, Temporal Graph Sensor Prediction (TG-SPRED), predicts readings for a subset of sensors designated to enter sleep mode in each time slot, based on a non-scheduling-dependent approach. This flexibility allows for extended sensor inactivity periods without compromising data accuracy. TG-SPRED addresses the complexities of event-based sensing—a domain that has been somewhat overlooked in existing literature—by recognizing and leveraging the inherent temporal and spatial correlations among events. It combines the strengths of Gated Recurrent Units and Graph Convolutional Networks to analyze temporal data and spatial relationships within the sensor network graph, where connections are defined by sensor proximities. An adversarial training mechanism, featuring a critic network employing the Wasserstein distance for performance measurement, further refines the predictive accuracy. Comparative analysis against six leading solutions using four critical metrics—F-score, energy consumption, network lifetime, and computational efficiency—showcases our approach’s superior performance in both accuracy and energy efficiency.",none,
Efficient intelligent energy routing protocol in wireless sensor networks,https://dl.acm.org/doi/10.1155/2015/618072,9,article,ACM,2015,"In wireless sensor networks energy is a very important issue because these networks consist of lowpower sensor nodes. This paper proposes a new protocol to reach energy efficiency. The protocol has a different priority in energy efficiency as reducing energy consumption in nodes, prolonging lifetime of the whole network, increasing system reliability, increasing the load balance of the network, and reducing packet delays in the network. In the new protocol is proposed an intelligent routing protocol algorithm. It is based on reinforcement learning techniques. In the first step of the protocol, a new clustering method is applied to the network and the network is established using a connected graph. Then data is transmitted using the Q-value parameter of reinforcement learning technique. The simulation results show that our protocol has improvement in different parameters such as network lifetime, packet delivery, packet delay, and network balance.",none,
Q-learning based energy-efficient and void avoidance routing protocol for underwater acoustic sensor networks,https://dl.acm.org/doi/10.1016/j.comnet.2021.108309,6,research-article,ACM,2021,"The routing in underwater acoustic sensor networks (UASNs) has become a challenging issue due to several problems. First, in UASN, the distance between the nodes changes due to their mobility with the water current, thus increasing the network’s energy consumption. Second problem in UASNs is the occurrence of the void hole, which affects the network’s performance. Because nodes are unable to deliver data towards the destination due to the absence of forwarder nodes (FNs) in the network. Thus, the objective of routing in UASNs is to overcome the issues mentioned earlier to prolong the network’s lifetime. Therefore, a Q-learning based energy-efficient and balanced data gathering (QL-EEBDG) routing protocol is proposed in this paper. In QL-EEBDG, the FNs are selected according to their residual energy and grouped according to their neighboring nodes’ energies. Using energy as the main selection parameter assures efficient energy consumption in the network. Moreover, efficient selection of the FNs increases the lifetime of the network. However, the void node recovery process fails when the topology of the network is changed. Therefore, to avoid void holes in QL-EEBDG, a QL-EEBDG adjacent node (QL-EEBDG-ADN) scheme is proposed. It finds alternate neighbor routes for packet transmission and ensures continuous communication in the network. Extensive simulations are carried out for the performance evaluation of the proposed technique with existing baseline protocols, namely efficient balanced energy consumption based data gathering (EBDG), enhanced EBDG (EEBDG) and QELAR. The performance parameters used in the simulations are network lifetime, energy tax, network stability period and packet delivery ratio (PDR). The simulation results depict that the proposed QL-EEBDG-ADN outperforms the baseline protocols by approximately 11% better PDR and 25% better energy tax.",none,
Intelligent data analytics in energy optimization for the internet of underwater things,https://dl.acm.org/doi/10.1007/s00500-021-06002-x,2,research-article,ACM,2021,"The development of the Internet of Things (IoT) widened its definition to incorporate aquatic conditions. The submarine sensor structures and intelligent underwater linked devices have been built into the IoT environment as the Internet of Underwater Things. Energy-sensitive and accurate data collection is carried out using extremely secure communications in underwater sensor networks that face major drawbacks like timing and place-dependent connectivity. Therefore in this paper, Optimized energy planning based intelligent data analytics has been proposed to offer a programming system for distributing intelligent data analytics underwater with high energy efficiency. IDA implements two stages: the first stage is to overcome a drawback caused by secret and expose terminals by a possibility-based disputing method. The second stage investigates the possibilities for slight specificity recovery by adding a space focused on transmitter and receiver. OEP is used to capture data through an activity that uses intelligent data focused on self-learning to identify highly secure and effective route directions across communication gaps in a sensor network. By balancing data traffic loading in a vast network, the OEP transport system minimizes greater energy usage and delay issues. In a controversial approach, IDA resolves a limitation of confidentiality and reveals terminals based on choice. OEP collects data via smart self-learning information to track safety and productive paths through connectivity holes in a sensor network. The experimental findings illustrate the improved results have been built in terms of the high packet distribution rate of 97.11% and low latency, and less energy consumption.",none,
Monitoring Area Coverage Based on Improved Virtual Force and Multimedia Nodes Movement Data in Mobile Wireless Sensor Networks,https://dl.acm.org/doi/10.1155/2022/7121469,3,research-article,ACM,2022,"High-quality network coverage can quickly and accurately collect the data in the monitoring area and complete the task of target monitoring in wireless sensor networks. The existing related work focuses on improving the effect of network coverage and reducing the consumption of network resources. Aiming at the problems of coverage blind area and node redundancy in network coverage, a monitoring area coverage algorithm based on an improved virtual algorithm is proposed by improving the existing virtual force algorithm. This algorithm controls the moving direction and distance of nodes by adjusting the distance between nodes. Make the node move to a reasonable position, improve the coverage effect of the network, and reduce the moving distance of the node. The simulation results show that compared with the DNDVF algorithm and VFADP algorithm, this algorithm has a better application effect, can improve the coverage effect, and reduce the moving distance of nodes.",none,
A Survey on Real-Time Communications in Wireless Sensor Networks,https://dl.acm.org/doi/10.1155/2017/1864847,3,review-article,ACM,2017,"Generally, various traffic requirements in wireless sensor network are mostly dependent on specific application types, that is, event-driven, continuous, and query-driven types. In these applications, real-time delivery is one of the important research challenges. However, due to harsh networking environment around a node, many researchers usually take different approach from conventional networks. In order to discuss and analyze the advantage or disadvantage of these approaches, some comprehensive survey literatures were published; however they are either out of date or compiled for communication protocols on single layer. Based on this deficiency, in this paper, we present the up-to-date research approaches and discuss the important features related to real-time communications in wireless sensor networks. As for grouping, we categorize the approaches into hard, soft, and firm real-time model. Furthermore, in all these categories, research has been focused on MAC and scheduling and routing according to research area or objective in second level. Finally, the article also suggests potential directions for future research in the field.",none,
Novel self-adaptive routing service algorithm for application in VANET,https://dl.acm.org/doi/10.1007/s10489-018-1368-y,31,article,ACM,2019,"As a special MANET (mobile ad hoc network), VANET (vehicular ad-hoc network) has two important properties: the network topology changes frequently, and communication links are unreliable. Both properties are caused by vehicle mobility. To predict the reliability of links between vehicles effectively and design a reliable routing service protocol to meet various QoS application requirements, in this paper, details of the motion characteristics of vehicles and the reasons that cause links to go down are analyzed. Then a link duration model based on time duration is proposed. Link reliability is evaluated and used as a key parameter to design a new routing protocol. Quick changes in topology make it a huge challenge to find and maintain the end-to-end optimal path, but the heuristic Q-Learning algorithm can dynamically adjust the routing path through interaction with the surrounding environment. This paper proposes a reliable self-adaptive routing algorithm (RSAR) based on this heuristic service algorithm. By combining the reliability parameter and adjusting the heuristic function, RSAR achieves good performance with VANET. With the NS-2 simulator, RSAR performance is proved. The results show that RSAR is very useful for many VANET applications.",none,
QL-MAC: A Q-Learning Based MAC for Wireless Sensor Networks,https://dl.acm.org/doi/10.1007/978-3-319-03889-6_31,2,Article,ACM,2013,"WSNs are becoming an increasingly attractive technology thanks to the significant benefits they can offer to a wide range of application domains. Extending the system lifetime while preserving good network performance is one of the main challenges in WSNs. In this paper, a novel MAC protocol (QL-MAC) based on Q-Learning is proposed. Thanks to a distributed learning approach, the radio sleep-wakeup schedule is able to adapt to the network traffic load. The simulation results show that QL-MAC provides significant improvements in terms of network lifetime and packet delivery ratio with respect to standard MAC protocols. Moreover, the proposed protocol has a moderate computational complexity so to be suitable for practical deployments in currently available WSNs.",none,
InRout - A QoS aware route selection algorithm for industrial wireless sensor networks,https://dl.acm.org/doi/10.1016/j.adhoc.2011.07.015,9,article,ACM,2012,"Wireless sensor networks are a key enabling technology for industrial monitoring applications where the use of wireless infrastructure allows high adaptivity and low cost in terms of installation and retrofitting. To facilitate the move from the current wired designs to wireless designs, concerns regarding reliability must be satisfied. Current standardization efforts for industrial wireless systems lack specification on efficient routing protocols that mitigate reliability concerns. Consequently, this work presents the InRout route selection algorithm, where local information is shared among neighbouring nodes to enable efficient, distributed route selection while satisfying industrial application requirements and considering sensor node resource limitations. Route selection is described as a multi-armed bandit task and uses Q-learning techniques to obtain the best available solution with low overhead. A performance comparison with existing approaches demonstrates the benefits of the InRout algorithm, which satisfies typical quality of service requirements for industrial monitoring applications while considering sensor node resources. Simulation results show that InRout can provide gains ranging from 4% to 60% in the number of successfully delivered packets when compared to current approaches with much lower control overhead.",none,
A survey on event-driven and query-driven hierarchical routing protocols for mobile sink-based wireless sensor networks,https://dl.acm.org/doi/10.1007/s11227-022-04327-4,5,research-article,ACM,2022,"The sink mobility in wireless sensor networks (WSNs) brings new challenges specifically while designing the routing protocols. The advertisement of the mobile sink location to the sensor nodes is one of these challenges that is a core problem for any routing protocol. To deal with this issue, several hierarchical routing protocols have been developed for different mode of data transmissions, i.e., event-driven and query-driven, in mobile sink-based WSNs (MSWSNs). A routing protocol considers a particular data transmission mode depending on the application requirement. Routing protocols designed for event-driven scenarios do not ensure their efficient working in query-driven scenarios and vice versa. Thus, each application requires some specific designing of routing protocol. By considering the impact of data transmission mode on routing protocols, this paper makes the very first attempt to provide a comprehensive survey on hierarchical routing protocols designed for query-driven and event-driven data transmission scenarios. We provide a comparative study by discussing and describing their functionalities along with their advantages, disadvantages and key performance parameters. To help readers understand the evolution within each category, the relationship among different routing protocols is outlined with detailed descriptions as well as in-depth analysis.",none,
SAS-TDMA: a source aware scheduling algorithm for real-time communication in industrial wireless sensor networks,https://dl.acm.org/doi/10.1007/s11276-012-0524-2,9,article,ACM,2013,"Scheduling algorithms play an important role for TDMA-based wireless sensor networks. Existing TDMA scheduling algorithms address a multitude of objectives. However, their adaptation to the dynamics of a realistic wireless sensor network has not been investigated in a satisfactory manner. This is a key issue considering the challenges within industrial applications for wireless sensor networks, given the time-constraints and harsh environments. In response to those challenges, we present SAS-TDMA, a source-aware scheduling algorithm. It is a cross-layer solution which adapts itself to network dynamics. It realizes a trade-off between scheduling length and its configurational overhead incurred by rapid responses to routes changes. We implemented a TDMA stack instead of the default CSMA stack and introduced a cross-layer for scheduling in TOSSIM, the TinyOS simulator. Numerical results show that SAS-TDMA improves the quality of service for the entire network. It achieves significant improvements for realistic dynamic wireless sensor networks when compared to existing scheduling algorithms with the aim to minimize latency for real-time communication.",none,
Machine learning for wireless communications in the Internet of Things: A comprehensive survey,https://dl.acm.org/doi/10.1016/j.adhoc.2019.101913,30,research-article,ACM,2019,"The Internet of Things (IoT) is expected to require more effective and efficient wireless communications than ever before. For this reason, techniques such as spectrum sharing, dynamic spectrum access, extraction of signal intelligence and optimized routing will soon become essential components of the IoT wireless communication paradigm. In this vision, IoT devices must be able to not only learn to autonomously extract spectrum knowledge on-the-fly from the network but also leverage such knowledge to dynamically change appropriate wireless parameters (e.g., frequency band, symbol modulation, coding rate, route selection, etc.) to reach the network’s optimal operating point. Given that the majority of the IoT will be composed of tiny, mobile, and energy-constrained devices, traditional techniques based on a priori network optimization may not be suitable, since (i) an accurate model of the environment may not be readily available in practical scenarios; (ii) the computational requirements of traditional optimization techniques may prove unbearable for IoT devices. To address the above challenges, much research has been devoted to exploring the use of machine learning to address problems in the IoT wireless communications domain. The reason behind machine learning’s popularity is that it provides a general framework to solve very complex problems where a model of the phenomenon being learned is too complex to derive or too dynamic to be summarized in mathematical terms.This work provides a comprehensive survey of the state of the art in the application of machine learning techniques to address key problems in IoT wireless communications with an emphasis on its ad hoc networking aspect. First, we present extensive background notions of machine learning techniques. Then, by adopting a bottom-up approach, we examine existing work on machine learning for the IoT at the physical, data-link and network layer of the protocol stack. Thereafter, we discuss directions taken by the community towards hardware implementation to ensure the feasibility of these techniques. Additionally, before concluding, we also provide a brief discussion of the application of machine learning in IoT beyond wireless communication. Finally, each of these discussions is accompanied by a detailed analysis of the related open problems and challenges.",none,
Robust fuzzy logic schemes for cooperative spectrum sharing in 5G networks with uncertain channel conditions,https://dl.acm.org/doi/10.1016/j.compeleceng.2023.109060,0,research-article,ACM,2024,"ts•The FL-eRL technique presents a cutting-edge approach to manage the increased demand in wireless networks.•A robust fuzzy-game method is employed to navigate the uncertainties inherent in network sharing and routing.•The process utilizes fuzzy values within logical spaces, enhancing tolerance to variability in network incentives.•Network controllers' decision-making is bolstered by extensive validation, proving the technique's reliability in changing conditions.•This study finds the evolution of next-generation networks facing dynamic and unpredictable environments.AbstractThe rising use of wireless interfaces necessitates effective spectral reuse, addressed here through a novel Fuzzy Logic-inspired Enhanced Reinforced Learning (FL-eRL) technique. This paper explores robust spectrum access within wireless sharing networks, leveraging fuzzy-game strategies against routing uncertainties. Decision-making spaces are modelled as fuzzy-logical areas, using fuzzy values to represent ambiguous data, enhancing resilience to incentive variability, and maintaining network speed amidst uncertainties. This approach enables controllers to make informed, collective decisions through fuzzy analysis. Validated through rigorous testing in variable conditions, this technique promises significant advancements for next-generation communication systems in volatile settings, underscoring its pivotal role in future network management.Graphical abstractDisplay Omitted",none,
Novel routing mechanism for IoT-based emergency rescue scenarios,https://dl.acm.org/doi/10.1504/ijmc.2019.100507,0,research-article,ACM,2019,"Routing in emergency rescue scenarios where nodes around the site are mobile and send the information about the service needs to the concerned service providers through internet connectivity is an important issue. Focus is done by researchers in the respective fields for vehicular ad hoc networks (VANETs) and wireless sensor networks (WSNs) but the scenarios having mobile nodes around the site and having IoT environment have not been addressed. As this type of case includes time constraint-based services, thus a new mechanism predicting mobility of nodes at gateway and multicasting of the required information accordingly, is proposed in this paper. Meta-heuristic-based algorithm, grasshopper optimisation algorithm (GOA) is modified to fit for the prediction and then applied for taking decision related to multicast routing named as grasshopper-based routing and mobility (GRAM) algorithm. This prediction helps the network to send updates to the emergency site with minimal cost and energy consumption. Analysis of results shows the improved performance of the proposed mechanism in terms of both speed and accuracy.",none,
